date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:38	172508/172508	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20May%202022%2020:34:18%20GMT	https://desafio19dias.com/	C:/Users/alanc/Downloads/s/desafio19dias.com/index.html	(from )
18:51:38	113/113	---M-Z	200	added ('OK')	text/plain	date:Thu,%2002%20Jun%202022%2021:51:28%20GMT	https://desafio19dias.com/robots.txt		(from )
18:51:39	83200/83200	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20May%202022%2020:33:54%20GMT	http://desafio19dias.com/wp-content/cache/wpfc-minified/q6u9b0zy/buc74.css	C:/Users/alanc/Downloads/s/desafio19dias.com/wp-content/cache/wpfc-minified/q6u9b0zy/buc74.css	(from https://desafio19dias.com/)
18:51:39	181588/181588	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20May%202022%2020:33:54%20GMT	http://desafio19dias.com/wp-content/cache/wpfc-minified/kcuqzxu9/buc74.css	C:/Users/alanc/Downloads/s/desafio19dias.com/wp-content/cache/wpfc-minified/kcuqzxu9/buc74.css	(from https://desafio19dias.com/)
18:51:40	1899/1899	---M-Z	200	added ('OK')	application/rss+xml	etag:%22599516cd191c06a78eca8eaf309011e0-gzip%22	https://desafio19dias.com/feed/	C:/Users/alanc/Downloads/s/desafio19dias.com/feed/index.html	(from https://desafio19dias.com/)
18:51:40	1664/1664	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ed91e39945cddbbbff45a4240a21f69b-gzip%22	https://desafio19dias.com/comments/feed/	C:/Users/alanc/Downloads/s/desafio19dias.com/comments/feed/index.html	(from https://desafio19dias.com/)
18:51:40	1279/1279	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202022%2014:05:42%20GMT	https://desafio19dias.com/wp-content/uploads/elementor/css/post-11.css?ver=1646921142	C:/Users/alanc/Downloads/s/desafio19dias.com/wp-content/uploads/elementor/css/post-11dd8c.css	(from https://desafio19dias.com/)
18:51:41	9469/9469	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20May%202022%2020:33:54%20GMT	http://desafio19dias.com/wp-content/cache/wpfc-minified/jmc9fi90/buc74.css	C:/Users/alanc/Downloads/s/desafio19dias.com/wp-content/cache/wpfc-minified/jmc9fi90/buc74.css	(from https://desafio19dias.com/)
18:51:41	124797/124797	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20May%202022%2013:36:15%20GMT	https://desafio19dias.com/wp-content/uploads/elementor/css/post-1085.css?ver=1652621108	C:/Users/alanc/Downloads/s/desafio19dias.com/wp-content/uploads/elementor/css/post-1085de74.css	(from https://desafio19dias.com/)
18:51:41	58629/58629	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20May%202022%2020:33:54%20GMT	http://desafio19dias.com/wp-content/cache/wpfc-minified/fpokiwng/buc74.css	C:/Users/alanc/Downloads/s/desafio19dias.com/wp-content/cache/wpfc-minified/fpokiwng/buc74.css	(from https://desafio19dias.com/)
